epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0906,0,17.701,0,0,0,0,0,0,42.082,0,0.000652778,0.000652778,0.000652778
2,94.5994,0,14.0917,0,0,0,0,0,0,24.8631,0,0.00118882,0.00118882,0.00118882
3,156.114,0,12.1824,0,0,0,0,0,0,19.0224,0,0.00159286,0.00159286,0.00159286
4,215.636,0,11.2743,0,0,0,0,0,0,19.6821,0,0.001406,0.001406,0.001406
5,275.537,0,10.3127,0,0,0,0,0,0,19.0508,0,0.001208,0.001208,0.001208
6,318.983,0,9.61146,0,0,0,0,0,0,18.9052,0,0.00101,0.00101,0.00101
7,362.919,0,9.13236,0,0,0,0,0,0,19.0368,0,0.000812,0.000812,0.000812
8,406.699,0,8.72674,0,0,0,0,0,0,18.9148,0,0.000614,0.000614,0.000614
9,451.022,0,8.43736,0,0,0,0,0,0,18.5168,0,0.000416,0.000416,0.000416
10,499.602,0,8.25453,0,0,0,0,0,0,18.3649,0,0.000218,0.000218,0.000218
