epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.692,0.26056,1.14737,1.04859,0.9992,1,0.995,0.98785,0.3119,0.74158,0.39153,0.000661538,0.000661538,0.000661538
2,275.405,0.17915,0.56265,0.96476,0.99878,1,0.995,0.99226,0.29382,1.02335,0.32793,0.00119671,0.00119671,0.00119671
3,421.859,0.15612,0.43152,0.94608,0.99939,1,0.995,0.93221,0.32237,0.71477,0.37938,0.00159989,0.00159989,0.00159989
4,553.829,0.15224,0.35898,0.95816,0.99934,1,0.995,0.995,0.19592,0.50545,0.26394,0.001406,0.001406,0.001406
5,681.566,0.12379,0.29966,0.94094,0.99949,1,0.995,0.995,0.14966,0.46718,0.22807,0.001208,0.001208,0.001208
6,804.863,0.11004,0.24612,0.92292,0.99949,1,0.995,0.995,0.21394,0.50677,0.26234,0.00101,0.00101,0.00101
7,931.99,0.09022,0.21271,0.93121,0.99949,1,0.995,0.995,0.16623,0.36574,0.23546,0.000812,0.000812,0.000812
8,1058.09,0.07933,0.18864,0.92082,0.99949,1,0.995,0.995,0.14183,0.37943,0.20067,0.000614,0.000614,0.000614
9,1184.2,0.06646,0.16686,0.9155,0.9995,1,0.995,0.995,0.17432,0.35703,0.22301,0.000416,0.000416,0.000416
10,1309.07,0.0553,0.14447,0.91239,0.9995,1,0.995,0.995,0.16218,0.34098,0.21868,0.000218,0.000218,0.000218
